"","Code","ProjectBase","n"
"622","AF29","Nevada Winnemucca ESR",1
"623","LEPIDAF","California NorCal",3
"624","LEPIDAF","Idaho Bruneau FO",1
"625","LEPIDAF","Nevada BMDO",3
"626","LEPIDAF","Nevada CCDO",3
"627","LEPIDAF","Nevada SNDO",21
"628","LEPIDAF","Washington Wenatchee  FO",2
"629","SH08","California NorCal",1
"630","SH08","Nevada SNDO",1
"631","SH08","Nevada Winnemucca ESR",1
"632","CASTI2SH","Nevada BMDO",1
"633","ALLIUPF01","Nevada EKDO",20
"634","ALLIUPF02","Nevada EKDO",4
"635","OPUNTPF01","Nevada EKDO",30
"636","PERIDPF01","Nevada EKDO",2
"637","SENECPF01","Nevada EKDO",4
"638","ARENAPF01","Nevada EKDO",5
"639","DESCUAF01","Nevada EKDO",22
"640","ZIGADPF01","Nevada EKDO",8
"641","CYMOP2PF01","Nevada EKDO",9
"642","DELPHPF01","Nevada EKDO",9
"643","DELPHPF01","Nevada EYDO",3
"644","GILIAAF01","Nevada EKDO",16
"645","GILIAAF01","Nevada EYDO",7
"646","CHAENAF01","Nevada EKDO",8
"647","CHAENAF01","Nevada EYDO",1
"648","SPHAEPF01","Nevada EKDO",11
"649","PACKEPF01","Nevada EKDO",6
"650","SUC01","Nevada EKDO",1
"651","CHENOAF01","Nevada EKDO",5
"652","DODECPF01","Nevada EKDO",1
"653","IVESIPF01","Nevada EKDO",1
"654","JUNCUPG01","Nevada EKDO",2
"655","PHLOXPF01","Nevada EKDO",1
"656","MENTZAF01","Nevada EKDO",4
"657","OENOTPF01","Nevada EKDO",5
"658","OENOTPF01","Nevada EYDO",1
"659","ARTRW","Colorado White River FO",13
"660","ARTRW","Nevada EYDO",2
"661","CHAENA","Nevada SNDO",31
"662","PECTOA","Nevada SNDO",37
"663","BRASS2A","Nevada SNDO",14
"664","ENCELP","Nevada SNDO",18
"665","AF39","California NorCal",3
"666","AF39","Nevada SNDO",4
"667","AF39","Nevada Winnemucca ESR",5
"668","MENTZA","Nevada SNDO",5
"669","AMARAA","Nevada SNDO",5
"670","AF38","California NorCal",2
"671","AF38","Nevada SNDO",1
"672","AF38","Nevada Winnemucca ESR",1
"673","CYLIN2SH","Nevada SNDO",6
"674","MIRABP","Nevada SNDO",3
"675","AF40","California NorCal",3
"676","AF40","Nevada SNDO",1
"677","AF40","Nevada Winnemucca ESR",3
"678","PENSTA","California NorCal",4
"679","PENSTA","Colorado White River FO",3
"680","PENSTA","Nevada CCDO",1
